2024-12-07 15:42:45,489 | INFO | django.utils.autoreload | Watching for file changes with StatReloader
2024-12-09 12:26:30,199 | INFO | django.utils.autoreload | Watching for file changes with StatReloader
2024-12-09 12:28:58,562 | INFO | django.server | "OPTIONS /api/user-info/ HTTP/1.1" 200 0
2024-12-09 12:28:58,563 | INFO | django.server | "OPTIONS /api/user-info/ HTTP/1.1" 200 0
2024-12-09 12:28:58,585 | INFO | django.server | "OPTIONS /api/employees/?branch=2 HTTP/1.1" 200 0
2024-12-09 12:28:58,586 | INFO | django.server | "OPTIONS /api/employees/?branch=2 HTTP/1.1" 200 0
2024-12-09 12:28:58,723 | WARNING | django.request | Unauthorized: /api/employees/
2024-12-09 12:28:58,725 | WARNING | django.server | "GET /api/employees/?branch=2 HTTP/1.1" 401 183
2024-12-09 12:28:58,731 | WARNING | django.request | Unauthorized: /api/employees/
2024-12-09 12:28:58,732 | INFO | django.server | "OPTIONS /api/token/refresh/ HTTP/1.1" 200 0
2024-12-09 12:28:58,734 | WARNING | django.server | "GET /api/employees/?branch=2 HTTP/1.1" 401 183
2024-12-09 12:28:58,935 | INFO | django.server | "POST /api/token/refresh/ HTTP/1.1" 200 483
2024-12-09 12:28:58,949 | INFO | django.server | "POST /api/token/refresh/ HTTP/1.1" 200 483
2024-12-09 12:28:58,953 | INFO | django.server | "GET /api/employees/?branch=2 HTTP/1.1" 200 578
2024-12-09 12:28:58,966 | INFO | django.server | "GET /api/employees/?branch=2 HTTP/1.1" 200 578
2024-12-09 12:29:04,976 | INFO | django.server | "OPTIONS /api/get-schedule/2/draft HTTP/1.1" 200 0
2024-12-09 12:29:04,977 | INFO | django.server | "OPTIONS /api/get-schedule/2/draft HTTP/1.1" 200 0
2024-12-09 12:29:04,993 | INFO | django.server | "OPTIONS /api/get-schedule/2/draft/ HTTP/1.1" 200 0
2024-12-09 12:29:04,994 | INFO | django.server | "OPTIONS /api/get-schedule/2/draft/ HTTP/1.1" 200 0
2024-12-09 12:29:05,038 | INFO | django.server | "GET /api/get-schedule/2/draft/ HTTP/1.1" 200 1873
2024-12-09 12:29:05,081 | INFO | django.server | "GET /api/get-schedule/2/draft/ HTTP/1.1" 200 1873
2024-12-09 12:29:07,695 | INFO | django.server | "OPTIONS /api/rooms/ HTTP/1.1" 200 0
2024-12-09 12:29:07,695 | INFO | django.server | "OPTIONS /api/rooms/ HTTP/1.1" 200 0
2024-12-09 12:29:07,710 | INFO | django.server | "GET /api/rooms/ HTTP/1.1" 200 160
2024-12-09 12:29:07,728 | INFO | django.server | "GET /api/rooms/ HTTP/1.1" 200 160
2024-12-09 12:29:10,439 | INFO | django.server | "OPTIONS /api/token/ HTTP/1.1" 200 0
2024-12-09 12:29:11,563 | INFO | django.server | "POST /api/token/ HTTP/1.1" 200 483
2024-12-09 12:29:11,580 | INFO | django.server | "GET /api/user-info/ HTTP/1.1" 200 149
2024-12-09 12:29:11,622 | INFO | django.server | "GET /api/user-info/ HTTP/1.1" 200 149
2024-12-09 12:29:11,643 | INFO | django.server | "GET /api/employees/?branch=2 HTTP/1.1" 200 578
2024-12-09 12:29:11,654 | INFO | django.server | "GET /api/user-info/ HTTP/1.1" 200 149
2024-12-09 12:29:11,669 | INFO | django.server | "GET /api/employees/?branch=2 HTTP/1.1" 200 578
2024-12-09 12:35:15,944 | INFO | django.utils.autoreload | C:\Users\eva20\OneDrive\Documents\eyal16\MyProjects\shiftEasy\backend\work_shift_scheduler\settings.py changed, reloading.
2024-12-09 12:35:17,602 | INFO | django.utils.autoreload | Watching for file changes with StatReloader
2024-12-09 12:35:21,893 | INFO | django.utils.autoreload | C:\Users\eva20\OneDrive\Documents\eyal16\MyProjects\shiftEasy\backend\work_shift_scheduler\settings.py changed, reloading.
2024-12-09 12:35:23,147 | INFO | django.utils.autoreload | Watching for file changes with StatReloader
2024-12-09 12:35:45,678 | INFO | django.utils.autoreload | C:\Users\eva20\OneDrive\Documents\eyal16\MyProjects\shiftEasy\backend\work_shift_scheduler\settings.py changed, reloading.
2024-12-09 12:35:46,928 | INFO | django.utils.autoreload | Watching for file changes with StatReloader
2024-12-09 12:35:59,192 | INFO | django.utils.autoreload | C:\Users\eva20\OneDrive\Documents\eyal16\MyProjects\shiftEasy\backend\work_shift_scheduler\settings.py changed, reloading.
2024-12-09 12:36:00,989 | INFO | django.utils.autoreload | Watching for file changes with StatReloader
2024-12-09 12:41:48,467 | INFO | django.utils.autoreload | C:\Users\eva20\OneDrive\Documents\eyal16\MyProjects\shiftEasy\backend\work_shift_scheduler\settings.py changed, reloading.
2024-12-09 12:49:54,687 | INFO | django.utils.autoreload | Watching for file changes with StatReloader
2024-12-09 12:50:05,263 | INFO | django.server | "GET /api/user-info/ HTTP/1.1" 200 149
